FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq-default          ,         , Base_Seq-library          ,         , Base_Seq-replicate_64     ,         , Base_Seq-direct           ,         , Lambda_Seq-default        ,         , Lambda_Seq-replicate_64   ,         , Lambda_Seq-direct         ,         , RAJA_Seq-default          ,         , RAJA_Seq-new              ,         , RAJA_Seq-library          ,         , RAJA_Seq-replicate_64     ,         , RAJA_Seq-direct           ,         , RAJA_Seq-funcptr          ,         , RAJA_Seq-virtfunc         ,         , Base_OpenMP-default       ,         , Base_OpenMP-replicate_64  ,         , Base_OpenMP-direct        ,         , Lambda_OpenMP-default     ,         , Lambda_OpenMP-replicate_64,         , Lambda_OpenMP-direct      ,         , RAJA_OpenMP-default       ,         , RAJA_OpenMP-new           ,         , RAJA_OpenMP-replicate_64  ,         , RAJA_OpenMP-direct        ,         , RAJA_OpenMP-funcptr       ,         , RAJA_OpenMP-virtfunc      ,        
Basic_ARRAY_OF_PTRS         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.046                     ,         , 0                         ,         , 0                         ,         , 0.22                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.28                     ,         , 0                         ,         , 0                         ,         , -0.21                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_COPY8                 , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.014                     ,         , 0                         ,         , 0                         ,         , 0.0094                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.01                      ,         , 0                         ,         , 0                         ,         , -0.0015                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_DAXPY                 , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0063                    ,         , 0                         ,         , 0                         ,         , 0.0033                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.011                     ,         , 0                         ,         , 0                         ,         , -0.0016                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_DAXPY_ATOMIC          , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.059                    ,         , 0                         ,         , 0                         ,         , -0.069                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.027                     ,         , 0                         ,         , 0                         ,         , 0.0097                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_IF_QUAD               , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0027                   ,         , 0                         ,         , 0                         ,         , 0.00049                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.014                     ,         , 0                         ,         , 0                         ,         , 0.01                      ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_INDEXLIST             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.016                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.034                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_INDEXLIST_3LOOP       , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.00085                  ,         , 0                         ,         , 0                         ,         , -0.0044                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.011                     ,         , 0                         ,         , 0                         ,         , 0.039                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_INIT3                 , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.084                     ,         , 0                         ,         , 0                         ,         , 0.11                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0033                    ,         , 0                         ,         , 0                         ,         , 0.032                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_INIT_VIEW1D           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.027                     ,         , 0                         ,         , 0                         ,         , 0.026                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.075                     ,         , 0                         ,         , 0                         ,         , 0.053                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_INIT_VIEW1D_OFFSET    , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.048                    ,         , 0                         ,         , 0                         ,         , -0.36                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0078                    ,         , 0                         ,         , 0                         ,         , 0.066                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
