Kernels run without MPI
Kernels                      ,    Problem size ,    Reps ,    Iterations/rep , Kernels/rep ,    Bytes/rep ,     FLOPS/rep ,    BytesRead/rep ,    BytesWritten/rep ,    BytesAtomicModifyWritten/rep
Basic_ARRAY_OF_PTRS          ,         1000000 ,      50 ,           1000000 ,           1 ,    216000000 ,      26000000 ,        208000000 ,             8000000 ,                               0
Basic_COPY8                  ,         1000000 ,      50 ,           1000000 ,           1 ,    128000000 ,             0 ,         64000000 ,            64000000 ,                               0
Basic_DAXPY                  ,         1000000 ,     500 ,           1000000 ,           1 ,     24000000 ,       2000000 ,         16000000 ,             8000000 ,                               0
Basic_DAXPY_ATOMIC           ,         1000000 ,     500 ,           1000000 ,           1 ,     24000000 ,       2000000 ,          8000000 ,                   0 ,                         8000000
Basic_IF_QUAD                ,         1000000 ,     180 ,           1000000 ,           1 ,     40000000 ,      11000000 ,         24000000 ,            16000000 ,                               0
Basic_INDEXLIST              ,         1000000 ,     100 ,           1000000 ,           1 ,     10000016 ,             0 ,          8000008 ,             2000008 ,                               0
Basic_INDEXLIST_3LOOP        ,         1000000 ,     100 ,           3000001 ,           3 ,     42000042 ,             0 ,         24000024 ,            18000018 ,                               0
Basic_INIT3                  ,         1000000 ,     500 ,           1000000 ,           1 ,     40000000 ,       1000000 ,         16000000 ,            24000000 ,                               0
Basic_INIT_VIEW1D            ,         1000000 ,    2500 ,           1000000 ,           1 ,      8000000 ,       1000000 ,                0 ,             8000000 ,                               0
Basic_INIT_VIEW1D_OFFSET     ,         1000000 ,    2500 ,           1000000 ,           1 ,      8000000 ,       1000000 ,                0 ,             8000000 ,                               0
Basic_MAT_MAT_SHARED         ,         1000000 ,       5 ,           1000000 ,           1 ,     24000000 ,    2048385024 ,         16000000 ,             8000000 ,                               0
Basic_MULADDSUB              ,         1000000 ,     350 ,           1000000 ,           1 ,     40000000 ,       3000000 ,         16000000 ,            24000000 ,                               0
Basic_NESTED_INIT            ,         1000000 ,    1000 ,           1000000 ,           1 ,      8000000 ,       3000000 ,                0 ,             8000000 ,                               0
