Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Basic_ARRAY_OF_PTRS         ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.956 ,      Not run ,    Not run ,    0.818 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.673 ,      Not run ,     Not run ,         2.327 ,       Not run ,       Not run ,       2.108 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_COPY8                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.986 ,      Not run ,    Not run ,    0.991 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.386 ,      Not run ,     Not run ,         1.373 ,       Not run ,       Not run ,       1.389 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_DAXPY                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.994 ,      Not run ,    Not run ,    0.997 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.075 ,      Not run ,     Not run ,         1.063 ,       Not run ,       Not run ,       1.077 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_DAXPY_ATOMIC          ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.062 ,      Not run ,    Not run ,    1.074 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.114 ,      Not run ,     Not run ,         0.111 ,       Not run ,       Not run ,       0.113 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_IF_QUAD               ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.003 ,      Not run ,    Not run ,    1.000 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.358 ,      Not run ,     Not run ,         2.324 ,       Not run ,       Not run ,       2.334 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INDEXLIST             ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.016 ,      Not run ,    Not run ,  Not run ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.584 ,      Not run ,     Not run ,         1.639 ,       Not run ,       Not run ,     Not run ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INDEXLIST_3LOOP       ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.001 ,      Not run ,    Not run ,    1.004 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.293 ,      Not run ,     Not run ,         1.278 ,       Not run ,       Not run ,       1.244 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INIT3                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.922 ,      Not run ,    Not run ,    0.904 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.652 ,      Not run ,     Not run ,         1.647 ,       Not run ,       Not run ,       1.602 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INIT_VIEW1D           ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.973 ,      Not run ,    Not run ,    0.974 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.865 ,      Not run ,     Not run ,         1.734 ,       Not run ,       Not run ,       1.771 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INIT_VIEW1D_OFFSET    ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.051 ,      Not run ,    Not run ,    1.574 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.068 ,      Not run ,     Not run ,         3.044 ,       Not run ,       Not run ,       2.879 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_MAT_MAT_SHARED        ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    0.998 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.980 ,      Not run ,     Not run ,         3.607 ,       Not run ,       Not run ,       3.357 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_MULADDSUB             ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.977 ,      Not run ,    Not run ,    1.007 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.810 ,      Not run ,     Not run ,         1.826 ,       Not run ,       Not run ,       1.661 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_NESTED_INIT           ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.001 ,      Not run ,    Not run ,    1.004 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       4.024 ,      Not run ,     Not run ,         3.955 ,       Not run ,       Not run ,       3.259 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_PI_ATOMIC             ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.083 ,      Not run ,    Not run ,    1.110 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.083 ,      Not run ,     Not run ,         0.083 ,       Not run ,       Not run ,       0.083 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
