Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Basic_ARRAY_OF_PTRS         , 8.408542 ,  Not run ,      Not run ,  Not run ,   8.791145 ,      Not run ,    Not run , 10.276728 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    5.026647 ,      Not run ,     Not run ,      3.613623 ,       Not run ,       Not run ,    3.989244 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_COPY8                 , 2.342360 ,  Not run ,      Not run ,  Not run ,   2.375556 ,      Not run ,    Not run , 2.364338 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.689560 ,      Not run ,     Not run ,      1.706591 ,       Not run ,       Not run ,    1.686945 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_DAXPY                 , 2.057388 ,  Not run ,      Not run ,  Not run ,   2.070406 ,      Not run ,    Not run , 2.064152 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.913772 ,      Not run ,     Not run ,      1.934876 ,       Not run ,       Not run ,    1.910798 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_DAXPY_ATOMIC          , 2.228379 ,  Not run ,      Not run ,  Not run ,   2.097577 ,      Not run ,    Not run , 2.073927 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   19.528282 ,      Not run ,     Not run ,     20.051014 ,       Not run ,       Not run ,   19.717568 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_IF_QUAD               , 4.227248 ,  Not run ,      Not run ,  Not run ,   4.215716 ,      Not run ,    Not run , 4.229332 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.792950 ,      Not run ,     Not run ,      1.818799 ,       Not run ,       Not run ,    1.811218 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INDEXLIST             , 0.646231 ,  Not run ,      Not run ,  Not run ,   0.636069 ,      Not run ,    Not run ,  Not run ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.408093 ,      Not run ,     Not run ,      0.394309 ,       Not run ,       Not run ,     Not run ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INDEXLIST_3LOOP       , 0.995589 ,  Not run ,      Not run ,  Not run ,   0.994740 ,      Not run ,    Not run , 0.991248 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.770048 ,      Not run ,     Not run ,      0.778736 ,       Not run ,       Not run ,    0.800220 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INIT3                 , 7.966589 ,  Not run ,      Not run ,  Not run ,   8.638131 ,      Not run ,    Not run , 8.812477 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.821768 ,      Not run ,     Not run ,      4.837688 ,       Not run ,       Not run ,    4.974291 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Basic_INIT_VIEW1D           , 3.087731 ,  Not run ,      Not run ,  Not run ,   3.171805 ,      Not run ,    Not run , 3.168693 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    1.655835 ,      Not run ,     Not run ,      1.780186 ,       Not run ,       Not run ,    1.743166 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
